Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hong Kong,Asia,https://public.flourish.studio/country-flags/svg/hk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649844,0.000755964,0.000754249,0.000932725,0.000845683,0.000683483,0.000857138,0.000658713,0.000721129,0.000629462,0.000369659,0.001321302,0.001237349,0.00124887
Hungary,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000959804,0.000967721,0.003817399,0.005647526,0.008755739,0.03798863,0.098019073,0.185277852,0.324445398,0.503050579,0.596585831,0.787216458,0.766053906,0.696343635,0.694918298,0.670887916,0.703503731,0.556913116,0.656441615
Iceland,Europe,https://public.flourish.studio/country-flags/svg/is.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82652E-05,0,0.024952185,0.037985601,0.04707343,0.039373569,0.033020425,0.017087201,0.026745042
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003664297,0.013003027,0.009675727,0.010127514,0.01940183,0.046834253,0.079621841,0.084831235,0.087379515,0.11401608,0.118582056,0.154485193,0.146719601,0.175367464,0.325835458,0.350292492,0.516118521,0.590235581,0.683098694,0.713962307,0.809727845,0.935852995,1.012995478,1.060717176,1.100188011,1.036548245,1.308662342,1.511714332,1.620634118,1.657349151
Indonesia,Asia,https://public.flourish.studio/country-flags/svg/id.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57697E-05,0.000597478,0.00053775,0.000640657,0.000592465,1.20293E-05,0,0.000473456,0.000719221,0,0.020753999,0.019345012
Iran,Asia,https://public.flourish.studio/country-flags/svg/ir.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007141197,0.007089628,0.006165702,0.005065624,0.004486854,0.006820414,0.009676213,0.015550119,0.016236207,0.021588127,0.023983467,0.021944414,0.021330859,0.020130435,0.019767734,0.017619035,0.021585286,0.022170547,0.024382624,0.02521857,0.025806168
Iraq,Asia,https://public.flourish.studio/country-flags/svg/iq.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Europe,https://public.flourish.studio/country-flags/svg/ie.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011391477,0.033446297,0.040757567,0.033655415,0.027848627,0.095294479,0.299473385,0.313231403,0.392973658,0.5041447,0.585877091,0.699214839,0.989348368,1.598931011,2.270739939,2.645706529,3.2570857,4.35699478,4.139083455,6.75228732,6.214220423,7.144174843,8.064299654,9.672660984,8.640824862,10.39406158,11.73234833,13.17085063
Israel,Asia,https://public.flourish.studio/country-flags/svg/il.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011863085,0.012781501,0.013477655,0.012130166,0.011674606,0.010556796,0.009941444,0.008754585,0.009085295,0.007570668,0.00643389,0.005247528,0.005619491,0.005588837,0.005981009,0.04015612,0.039155948,0.053096175,0.051030714
Italy,Europe,https://public.flourish.studio/country-flags/svg/it.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304246,0.000290508,0.000427949,0.000284754,0.000579306,0.001017499,0.001258227,0.004601407,0.016913437,0.032392405,0.054549733,0.075140622,0.155533494,0.185505241,0.185334722,0.229420412,0.288771433,0.365630634,0.502722175,0.61224993,0.879744529,1.185244374,1.302699743,1.812722276,2.099189477,2.248100191,2.141420577,2.511975585,2.480345449,2.449384611,2.820750071
