Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Finland,Europe,https://public.flourish.studio/country-flags/svg/fi.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.479014259,4.256147137,4.238940897,5.042015729,5.200051509,5.580720189,4.745273002,6.295859713,7.195716514,6.567425872,6.697796891,6.223402369,6.659483606,6.418141485,7.184281195,7.178306901,7.559516387,6.951621042,7.513814117,6.784135991,7.782911227,8.483656066,8.648156717,9.194379224,9.382331977,9.093244346,8.810162548,8.975298638,9.621245898,10.0301327
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,0,0.081347864,0.118458719,0.171831222,0.17961511,0.212383506,0.20731273,0.211093639,0.198802476,0.206113011,0.19657477,0.173597016,0.177084212,0.174795209,0.177627591,0.178399441,0.182995303,0.194548759,0.19384773,0.195307303,0.192596706,0.189238864,0.195732788,0.195753029,0.200499573,0.202153122,0.208967443,0.210555948,0.194819014,0.215795793,0.22758581,0.228245541,0.255535703,0.247579335,0.261773282,0.270554327,0.296609666,0.315785411,0.326281173,0.327231936,0.335039524,0.333208999,0.371024763,0.388180406,0.422099292,0.437381922,0.504136919,0.49417485,0.486703834,0.546517165,0.599398356,0.71724834,0.751094265,0.781809212,0.811400988
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,0,0,0,0,0,0.070848788,0.076384065,0.075126051,0.073435973,0.076390405,0.08309903,0.088459921,0.086544532,0.088275628,0.09161985,0.129069338,0.122268684,0.12637809,0.106697965,0.109790525,0.106743071,0.104460313,0.093871492,0.106001054,0.114424178,0.095366287,0.10019202,0.108308717,0.114168527,0.132183808,0.140988068,0.142456792,0.1563939,0.22581941,0.252238466,0.330882329,0.35609397,0.41611685,0.605338776,0.713569954,0.986248072,1.24980775,1.693229993,1.899480379,2.238417955,2.344859907,2.632159741,3.027301833,3.082760187,3.397814798,3.458471821,3.425268669,3.364092122,3.429076856,3.464992039
Greece,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000933394,0.000918627,0.000902,0.000868772,0,0,0,0.000777963,0,0.057317383,0.090455255,0.071256598,0.082805602,0.08115604,0.072999341,0.114982922,0.122939895,0.144204309,0.131464443,0.146002995,0.151317442,0.168334377,0.181178008,0.187898389,0.225314635,0.24049454,0.243471237,0.251411994
Hong Kong,Asia,https://public.flourish.studio/country-flags/svg/hk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074669503,0.061421913,0.072424864,0.072471554,0.082532193,0.078255779,0.075797437,0.074297834,0.06736113,0.078253894
Hungary,Europe,https://public.flourish.studio/country-flags/svg/hu.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014517153,0.021914561,0.0445494,0.038315142,0.043634564,0.053951947,0.047322485,0.051587472,0.057769993,0.062463746,0.064536508,0.067122528,0.040597696,0.153590843,0.682365967,1.451670091,1.116659659,1.392752527,1.751562989,2.288762581,2.192606964,1.771644947,1.689417745,1.95486707,2.254887915,2.166981705,2.031302904,1.999133367,2.10288099,1.940396431
Iceland,Europe,https://public.flourish.studio/country-flags/svg/is.svg,0,0,0,0,0.064752933,0.340977474,0.311778209,0.516348213,0.477760682,0.116581288,0.387830157,0.389031733,0.311936565,0.338710233,0.811268494,0.784787118,2.121693227,2.67569069,2.800670226,2.684426082,2.68069262,3.179979006,3.397830067,3.379813604,3.421230683,3.755287076,3.631094992,3.017850987,3.214779081,3.230402383,3.491529571,3.923399601,4.072137403,6.586590051,10.46326523,11.47695778,12.37963296,11.67509144,11.33569629,11.64888709,12.90172841,18.53109943,21.92688743,19.7010265,22.1119356,21.55361614,22.55275847,24.59492412,23.86131915,23.72909776,21.61780413,21.66364073,21.00465581,23.53700101,24.50965676
India,Asia,https://public.flourish.studio/country-flags/svg/in.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004580371,0.010934364,0.013080149,0.026923497,0.038562,0.053183551,0.068531198,0.084274356,0.104677093,0.132964733,0.126394387,0.153301951,0.150591719,0.182619502,0.206659096,0.23593978,0.308817904,0.37400866,0.441936395,0.510837241,0.594928626,0.669570527,0.736169689,0.794569671,0.811475506,0.817367971,0.747410498,0.718386561,0.703902482,0.663601225
Indonesia,Asia,https://public.flourish.studio/country-flags/svg/id.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511945443,0.440177896,0.414090736,0.394161949,0.54155807,0.701266338,0.696200068,0.746590581,0.915447936,1.005782791,1.143412006,1.329257949,1.308213534,1.218622199,1.287141093,1.238676668,1.224100201,1.195806785,1.425849002,1.53160479,1.398068373,1.284197155,1.222131021,1.162634736,1.323795038,1.324678549,1.376863911,1.569658902,1.58679489,1.615915816
Iran,Asia,https://public.flourish.studio/country-flags/svg/ir.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179795,0.001072851,0.002198405,0.002228046,0.001805451,0.004153155,0.001451739,0.001828526,0.001944753,0.001849329,0.001765227
Iraq,Asia,https://public.flourish.studio/country-flags/svg/iq.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Europe,https://public.flourish.studio/country-flags/svg/ie.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05370677,0.154377658,0.150622319,0.152428381,0.153002183,0.146414539,0.12231038,0.132450963,0.164640105,0.187317924,0.179797172,0.229675603,0.28230228,0.37051423,0.463219987,0.518001391,0.680612762,0.756439174,0.841175097,0.700699799,0.95696871,1.018963449,1.146186547,1.213427404
Israel,Asia,https://public.flourish.studio/country-flags/svg/il.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006809121,0.042397123,0.057736011,0.067092491,0.066485064,0.040273022,0.05881725,0.060778307,0.099466087,0.095431164,0.082988301,0.079759156
Italy,Europe,https://public.flourish.studio/country-flags/svg/it.svg,0.807603404,0.931035083,0.890739781,0.857533753,0.839085493,0.842553738,0.796296658,0.686736796,0.664133626,0.733548251,0.70389057,0.637508952,0.622537287,0.620372593,0.603667013,0.641451653,0.573832033,0.594285049,0.584996975,0.589475945,0.547479115,0.580885899,0.594704864,0.595193717,0.488424417,0.497520985,0.489640779,0.529260038,0.572201959,0.540070611,0.531834757,0.601604789,0.640725624,0.69938445,0.748523162,0.813992532,0.836100257,0.974036155,1.107692038,1.199512825,1.232236183,1.308812119,1.349272746,1.446676157,1.734306762,1.924257929,2.179012209,2.444335705,3.205688089,3.650789181,3.69033775,3.663464442,3.576043922,3.492053514,3.26643673
Japan,Asia,https://public.flourish.studio/country-flags/svg/jp.svg,0,0,0,0,0,0.020695384,0.018872735,0.019003617,0.017480673,0.021082604,0.027166601,0.02545004,0.036683077,0.054610677,0.069820116,0.071425806,0.075425961,0.682050308,0.752194131,0.761314759,0.792547098,0.86037942,0.903744519,0.918065764,0.946456281,0.609463152,0.611097198,0.613932,0.590562832,0.662742479,0.676645745,0.708266409,0.749727394,0.754193024,0.755522072,0.730200826,0.728847578,0.767564997,0.808027293,0.801249643,0.939701952,0.929754664,0.9624155,0.930246984,0.967918672,0.969994099,0.981919275,1.030505856,1.08237879,1.125857642,1.368864624,0.905420072,1.017639645,1.110737922,1.780895374
